OBJECTID,UPlCodigo,UPlNombre,SHAPE_Leng,LocNombre,LocCodigo,idred,RedIntregr,SHAPE_Le_1,SHAPE_Area
165,UPZ63,EL MOCHUELO,0.09852597,TUNJUELITO,6,1,Territorio Red Sur,0.09852597,0.0002579
166,UPZ55,DIANA TURBAY,0.07121449,RAFAEL URIBE URIBE,18,3,Territorio Red Centro Oriente,0.07121449,0.00017216
167,UPZ51,LOS LIBERTADORES,0.11468879,RAFAEL URIBE URIBE,18,3,Territorio Red Centro Oriente,0.11468879,0.00029715
168,UPZ60,PARQUE ENTRENUBES,0.13191932,RAFAEL URIBE URIBE,18,3,Territorio Red Centro Oriente,0.13191932,0.00031105
169,UPZ56,DANUBIO,0.08739913,TUNJUELITO,6,1,Territorio Red Sur,0.08739913,0.00023511
170,UPZ65,ARBORIZADORA,0.14141227,TUNJUELITO,6,1,Territorio Red Sur,0.14141227,0.00024939
171,UPZ2,LA ACADEMIA,0.12596425,SUBA,11,4,Territorio Red Norte,0.12596425,0.00054742
172,UPZ17,SAN JOSE DE BAVARIA,0.085272,SUBA,11,4,Territorio Red Norte,0.085272,0.00035697
173,UPZ18,BRITALIA,0.07104776,SUBA,11,4,Territorio Red Norte,0.07104776,0.00026768
174,UPZ26,LAS FERIAS,0.08409591,BARRIOS UNIDOS,12,4,Territorio Red Norte,0.08409591,0.00038549
175,UPZ115,CAPELLANIA,0.09547234,ENGATIVA,10,4,Territorio Red Norte,0.09547234,0.00022161
176,UPZ50,LA GLORIA,0.12381564,RAFAEL URIBE URIBE,18,3,Territorio Red Centro Oriente,0.12381564,0.00031419
177,UPZ60,PARQUE ENTRENUBES,0.03336099,RAFAEL URIBE URIBE,18,3,Territorio Red Centro Oriente,0.03336099,3.01E-05
178,UPZ20,LA ALHAMBRA,0.06376832,BARRIOS UNIDOS,12,4,Territorio Red Norte,0.06376832,0.00023193
179,UPZ79,CALANDAIMA,0.08705838,KENNEDY,8,2,Territorio Red Sur Occidente,0.08705838,0.00025973
180,UPZ12,TOBERIN,0.06450494,SUBA,11,4,Territorio Red Norte,0.06450494,0.00023674
181,UPZ10,LA URIBE,0.10083865,SUBA,11,4,Territorio Red Norte,0.10083865,0.00028121
182,UPZ59,ALFONSO LOPEZ,0.06995825,USME,5,1,Territorio Red Sur,0.06995825,0.00017627
183,UPZ58,COMUNEROS,0.11763925,USME,5,1,Territorio Red Sur,0.11763925,0.00040143
184,UPZ43,SAN RAFAEL,0.0702767,PUENTE ARANDA,16,2,Territorio Red Sur Occidente,0.0702767,0.00026817
185,UPZ47,KENNEDY CENTRAL,0.08323578,KENNEDY,8,2,Territorio Red Sur Occidente,0.08323578,0.00027461
186,UPZ48,TIMIZA,0.10548036,KENNEDY,8,2,Territorio Red Sur Occidente,0.10548036,0.00035052
187,UPZ113,BAVARIA,0.06072521,PUENTE ARANDA,16,2,Territorio Red Sur Occidente,0.06072521,0.00022576
188,UPZ44,AMERICAS,0.07939973,KENNEDY,8,2,Territorio Red Sur Occidente,0.07939973,0.00031024
189,UPZ13,LOS CEDROS,0.11840785,SUBA,11,4,Territorio Red Norte,0.11840785,0.00054752
190,UPZ70,JERUSALEM,0.12207114,CIUDAD BOLIVAR,19,1,Territorio Red Sur,0.12207114,0.00043765
191,UPZ36,SAN JOSE,0.05717493,RAFAEL URIBE URIBE,18,3,Territorio Red Centro Oriente,0.05717493,0.00016933
192,UPZ66,SAN FRANCISCO,0.07435825,TUNJUELITO,6,1,Territorio Red Sur,0.07435825,0.00014543
193,UPZ57,GRAN YOMASA,0.14072145,USME,5,1,Territorio Red Sur,0.14072145,0.00043626
194,UPZ52,LA FLORA,0.08726529,SAN CRISTOBAL,4,3,Territorio Red Centro Oriente,0.08726529,0.00014682
195,UPZ52,LA FLORA,0.01173432,USME,5,1,Territorio Red Sur,0.01173432,6.02E-06
196,UPZ11,SAN CRISTOBAL NORTE,0.09820609,USAQUEN,1,4,Territorio Red Norte,0.09820609,0.0002242
197,UPZ14,USAQUEN,0.1336477,USAQUEN,1,4,Territorio Red Norte,0.1336477,0.00040126
198,UPZ73,GARCES NAVAS,0.12122823,ENGATIVA,10,4,Territorio Red Norte,0.12122823,0.00045205
199,UPZ74,ENGATIVA,0.12242699,ENGATIVA,10,4,Territorio Red Norte,0.12242699,0.0004786
200,UPZ25,LA FLORESTA,0.10754108,BARRIOS UNIDOS,12,4,Territorio Red Norte,0.10754108,0.00032046
201,UPZ97,CHICO LAGO,0.10465543,BARRIOS UNIDOS,12,4,Territorio Red Norte,0.10465543,0.00034404
202,UPZ98,LOS ALCAZARES,0.07962914,BARRIOS UNIDOS,12,4,Territorio Red Norte,0.07962914,0.00033718
203,UPZ96,LOURDES,0.08608507,CANDELARIA,17,3,Territorio Red Centro Oriente,0.08608507,0.00016297
204,UPZ92,LA MACARENA,0.073558,CANDELARIA,17,3,Territorio Red Centro Oriente,0.073558,6.95E-05
205,UPZ94,LA CANDELARIA,0.06715641,CANDELARIA,17,3,Territorio Red Centro Oriente,0.06715641,0.00016777
206,UPZ9,VERBENAL,0.08690104,SUBA,11,4,Territorio Red Norte,0.08690104,0.00028979
207,UPZ28,EL RINCON,0.1185522,SUBA,11,4,Territorio Red Norte,0.1185522,0.00057834
208,UPZ30,BOYACA REAL,0.08043807,ENGATIVA,10,4,Territorio Red Norte,0.08043807,0.00036957
209,UPZ116,ALAMOS,0.08117443,ENGATIVA,10,4,Territorio Red Norte,0.08117443,0.00016308
210,UPZ35,CIUDAD JARDIN,0.04848404,LOS MARTIRES,14,3,Territorio Red Centro Oriente,0.04848404,0.00010849
211,UPZ38,RESTREPO,0.09543319,LOS MARTIRES,14,3,Territorio Red Centro Oriente,0.09543319,0.00028885
212,UPZ41,MUZU,0.06276576,PUENTE ARANDA,16,2,Territorio Red Sur Occidente,0.06276576,0.00020588
213,UPZ40,CIUDAD MONTES,0.07985542,PUENTE ARANDA,16,2,Territorio Red Sur Occidente,0.07985542,0.00036284
214,UPZ34,20 DE JULIO,0.0617638,RAFAEL URIBE URIBE,18,3,Territorio Red Centro Oriente,0.0617638,0.00021378
215,UPZ84,BOSA OCCIDENTAL,0.10628509,KENNEDY,8,2,Territorio Red Sur Occidente,0.10628509,0.00035048
216,UPZ85,BOSA CENTRAL,0.14801612,KENNEDY,8,2,Territorio Red Sur Occidente,0.14801612,0.00058196
217,UPZ32,SAN BLAS,0.157288,SANTA FE,3,3,Territorio Red Centro Oriente,0.157288,0.00032573
218,UPZ95,LAS CRUCES,0.04261824,LOS MARTIRES,14,3,Territorio Red Centro Oriente,0.04261824,7.52E-05
219,UPZ87,TINTAL SUR,0.14547286,BOSA,7,2,Territorio Red Sur Occidente,0.14547286,0.0004698
220,UPZ1,PASEO DE LOS LIBERTADORES,0.16450556,SUBA,11,4,Territorio Red Norte,0.16450556,0.00051393
221,UPZ46,CASTILLA,0.08892227,KENNEDY,8,2,Territorio Red Sur Occidente,0.08892227,0.00040978
222,UPZ112,GRANJAS DE TECHO,0.09346924,TEUSAQUILLO,13,4,Territorio Red Norte,0.09346924,0.00038895
223,UPZ78,TINTAL NORTE,0.09470913,KENNEDY,8,2,Territorio Red Sur Occidente,0.09470913,0.00027964
224,UPZ117,AEROPUERTO EL DORADO,0.13568565,ENGATIVA,10,4,Territorio Red Norte,0.13568565,0.00060519
225,UPZ77,ZONA FRANCA,0.16996874,KENNEDY,8,2,Territorio Red Sur Occidente,0.16996874,0.00040035
